flight_id,departure_date,airline,status,monto_pago
SW1021,2026-11-15,SW,DELAYED,380.6
UA3259,2026-11-18,UA,ON_TIME,181.27
AA4083,2026-11-06,AA,CANCELLED,408.69
UA8116,2026-11-10,UA,CANCELLED,1009.36
AA1841,2026-11-12,AA,CANCELLED,908.04
UA6200,2026-11-06,UA,ON_TIME,1356.1
DL8168,2026-11-07,DL,DELAYED,664.18
UA9231,2026-11-08,UA,DELAYED,570.6
SW1965,2026-11-26,SW,DELAYED,ERROR_TEXT
DL135,2026-11-30,DL,ON_TIME,1211.11
SW9637,2026-11-01,SW,DELAYED,853.41
SW8510,2026-11-23,SW,ON_TIME,1029.74
UA2154,2026-11-22,UA,DELAYED,1158.05
DL6801,2026-11-23,DL,CANCELLED,182.5
UA3355,2026-11-25,UA,CANCELLED,879.34
UA6687,2026-11-28,UA,DELAYED,1285.66
SW1788,2026-11-27,SW,DELAYED,386.34
DL3441,2026-11-21,DL,CANCELLED,1179.87
AA7273,2026-11-06,AA,ON_TIME,1436.62
DL6414,2026-11-21,DL,DELAYED,1099.44
AA8788,2026-11-10,AA,CANCELLED,795.03
AA4894,2026-11-06,AA,CANCELLED,1366.77
DL7183,2026-11-06,DL,ON_TIME,469.0
,2026-11-12,UA,DELAYED,1413.55
AA8324,2026-11-10,AA,CANCELLED,183.7
AA8976,2026-11-11,AA,CANCELLED,321.67
SW5932,2026-11-07,SW,DELAYED,376.68
,2026-11-01,DL,ON_TIME,991.84
SW200,2026-11-11,SW,DELAYED,1230.53
AA4618,2026-11-14,AA,DELAYED,182.14
DL166,2026-11-11,DL,ON_TIME,1424.86
DL6488,2026-11-14,DL,ON_TIME,367.63
UA2603,2026-11-03,UA,DELAYED,816.95
DL1674,2026-11-15,DL,CANCELLED,525.64
SW9042,2026-11-14,SW,CANCELLED,715.02
UA691,2026-11-15,UA,ON_TIME,1231.08
SW8860,2026-11-12,SW,DELAYED,111.49
SW4790,2026-11-23,SW,ON_TIME,1482.55
SW1122,2026-11-05,SW,ON_TIME,1265.77
UA1482,2026-11-28,UA,DELAYED,610.96
AA4678,2026-11-14,AA,DELAYED,267.37
AA1045,2026-11-10,AA,DELAYED,925.23
SW1392,2026-11-26,SW,ON_TIME,344.54
AA9221,2026-11-02,AA,DELAYED,636.27
UA4655,2026-11-11,UA,ON_TIME,1069.22
SW4133,2026-11-16,SW,ON_TIME,621.64
UA5570,2026-11-05,UA,ON_TIME,779.51
DL7565,2026-11-28,DL,CANCELLED,936.68
UA3282,2026-11-24,UA,ON_TIME,174.02
SW5845,2026-11-30,SW,ON_TIME,1184.27
SW4672,2026-11-09,SW,ON_TIME,1491.61
UA5516,2026-11-11,UA,CANCELLED,1215.24
SW6434,2026-11-12,SW,DELAYED,1050.72
SW2071,2026-11-15,SW,DELAYED,1281.24
AA4973,2026-11-21,AA,CANCELLED,1320.39
DL9342,2026-11-21,DL,CANCELLED,1383.91
AA8774,2026-11-09,AA,DELAYED,717.46
UA7205,2026-11-25,UA,CANCELLED,553.66
AA911,2026-11-23,AA,ON_TIME,1486.48
DL414,2026-11-05,DL,CANCELLED,1265.45
UA8321,2026-11-19,UA,ON_TIME,1057.66
DL2896,2026-11-12,DL,CANCELLED,244.05
UA9382,2026-11-16,UA,CANCELLED,1410.28
AA125,2026-11-14,AA,ON_TIME,810.62
DL1544,2026-11-11,DL,DELAYED,682.65
UA653,2026-11-08,UA,ON_TIME,1145.88
DL9968,2026-11-08,DL,CANCELLED,688.63
AA3821,2026-11-23,AA,ON_TIME,579.0
UA2630,2026-11-24,UA,CANCELLED,1178.12
UA7208,2026-11-06,UA,CANCELLED,ERROR_TEXT
UA5088,2026-11-22,UA,ON_TIME,1430.62
AA844,2026-11-01,AA,ON_TIME,1218.47
AA175,2026-11-29,AA,DELAYED,1299.99
DL6402,2026-11-07,DL,DELAYED,739.74
AA5034,2026-11-29,AA,ON_TIME,188.05
UA4879,2026-11-22,UA,DELAYED,827.62
UA411,2026-11-27,UA,DELAYED,864.88
DL2918,2026-11-20,DL,ON_TIME,524.51
UA144,2026-11-10,UA,ON_TIME,1164.3
SW3073,2026-11-14,SW,ON_TIME,643.47
AA380,2026-11-23,AA,DELAYED,1234.95
SW5691,2026-11-08,SW,CANCELLED,806.59
UA4644,2026-11-02,UA,CANCELLED,503.11
UA6732,2026-11-27,UA,CANCELLED,1019.0
DL1268,2026-11-26,DL,ON_TIME,1328.54
DL3918,2026-11-14,DL,DELAYED,ERROR_TEXT
AA8701,2026-11-02,AA,CANCELLED,1366.88
AA6188,2026-11-11,AA,DELAYED,944.17
UA644,2026-11-02,UA,CANCELLED,1010.28
UA8303,2026-11-02,UA,ON_TIME,785.67
SW7864,2026-11-27,SW,ON_TIME,1214.71
,2026-11-20,AA,ON_TIME,693.54
SW3778,2026-11-26,SW,CANCELLED,1378.2
AA4914,2026-11-05,AA,DELAYED,526.9
UA3066,2026-11-04,UA,CANCELLED,600.28
SW9832,2026-11-17,SW,CANCELLED,380.5
DL6365,2026-11-13,DL,DELAYED,1337.4
DL5230,2026-11-01,DL,DELAYED,927.58
AA4852,2026-11-07,AA,ON_TIME,725.69
UA307,2026-11-06,UA,ON_TIME,702.39
AA9257,2026-11-30,AA,CANCELLED,108.4
AA8527,2026-11-06,AA,DELAYED,809.64
AA3378,2026-11-16,AA,DELAYED,1210.59
UA5982,2026-11-12,UA,DELAYED,1208.69
AA2913,2026-11-28,AA,DELAYED,1043.41
SW5984,2026-11-03,SW,DELAYED,208.92
AA2842,2026-11-28,AA,CANCELLED,717.92
DL4879,2026-11-08,DL,ON_TIME,1115.98
DL4460,2026-11-29,DL,CANCELLED,330.99
AA1792,2026-11-27,AA,DELAYED,851.39
AA6754,2026-11-04,AA,ON_TIME,112.99
DL5103,2026-11-19,DL,DELAYED,382.19
SW7592,2026-11-29,SW,ON_TIME,1250.2
SW5635,2026-11-29,SW,CANCELLED,1035.1
SW1887,2026-11-08,SW,ON_TIME,1118.21
UA5557,2026-11-14,UA,CANCELLED,790.86
DL4367,2026-11-29,DL,DELAYED,1091.33
SW4989,2026-11-15,SW,CANCELLED,1498.64
DL2070,2026-11-04,DL,DELAYED,285.52
SW5872,2026-11-24,SW,ON_TIME,793.64
SW6778,2026-11-21,SW,ON_TIME,1457.21
UA7183,2026-11-12,UA,CANCELLED,105.53
SW4094,2026-11-02,SW,DELAYED,870.74
UA2969,2026-11-03,UA,DELAYED,908.09
AA9848,2026-11-25,AA,DELAYED,959.83
UA269,2026-11-27,UA,CANCELLED,765.42
UA9887,2026-11-02,UA,DELAYED,1158.63
SW173,2026-11-05,SW,CANCELLED,1494.13
UA987,2026-11-23,UA,CANCELLED,1331.87
UA2121,2026-11-01,UA,ON_TIME,1020.39
UA5951,2026-11-16,UA,DELAYED,1103.84
UA887,2026-11-26,UA,CANCELLED,365.0
UA6674,2026-11-12,UA,DELAYED,189.08
UA1700,2026-11-29,UA,DELAYED,1199.19
UA8083,2026-11-18,UA,CANCELLED,206.46
UA9695,2026-11-17,UA,DELAYED,607.25
AA9194,2026-11-08,AA,CANCELLED,1435.12
SW4795,2026-11-23,SW,ON_TIME,1254.1
UA8994,2026-11-29,UA,DELAYED,1217.56
SW864,2026-11-11,SW,CANCELLED,816.0
DL7299,2026-11-29,DL,ON_TIME,615.61
UA3082,2026-11-05,UA,CANCELLED,674.53
AA768,2026-11-23,AA,CANCELLED,1290.57
UA1200,2026-11-08,UA,CANCELLED,660.87
AA9668,2026-11-30,AA,CANCELLED,1126.79
UA9006,2026-11-04,UA,ON_TIME,1059.96
SW7516,2026-11-12,SW,ON_TIME,716.83
UA2446,2026-11-29,UA,ON_TIME,1033.3
SW5089,2026-11-02,SW,ON_TIME,1323.96
SW6812,2026-11-15,SW,CANCELLED,323.67
DL9139,2026-11-15,DL,DELAYED,820.87
SW3287,2026-11-27,SW,ON_TIME,280.05
AA502,2026-11-18,AA,CANCELLED,120.1
AA1345,2026-11-15,AA,CANCELLED,481.55
UA7358,2026-11-19,UA,DELAYED,234.52
AA4972,2026-11-25,AA,CANCELLED,1149.3
SW8518,2026-11-22,SW,ON_TIME,1401.87
UA3925,2026-11-27,UA,DELAYED,637.92
AA1315,2026-11-05,AA,CANCELLED,489.85
UA9617,2026-11-29,UA,DELAYED,1360.33
DL8452,2026-11-28,DL,ON_TIME,156.66
AA8473,2026-11-09,AA,ON_TIME,802.14
UA9835,2026-11-13,UA,ON_TIME,1402.69
SW4100,2026-11-03,SW,CANCELLED,674.99
SW2288,2026-11-11,SW,ON_TIME,579.44
SW4568,2026-11-15,SW,DELAYED,476.7
SW4756,2026-11-28,SW,CANCELLED,1160.95
AA1825,2026-11-26,AA,ON_TIME,510.13
DL6403,2026-11-02,DL,CANCELLED,813.01
SW218,2026-11-23,SW,DELAYED,997.37
SW5456,2026-11-15,SW,DELAYED,1103.36
UA4942,2026-11-09,UA,ON_TIME,276.98
UA5239,2026-11-27,UA,ON_TIME,255.4
DL9254,2026-11-06,DL,CANCELLED,889.61
AA2749,2026-11-14,AA,CANCELLED,780.38
AA7201,2026-11-17,AA,CANCELLED,1244.84
DL6023,2026-11-08,DL,CANCELLED,1235.65
UA9760,2026-11-27,UA,DELAYED,928.94
AA7093,2026-11-03,AA,ON_TIME,867.38
DL849,2026-11-23,DL,DELAYED,1320.39
UA7555,2026-11-20,UA,ON_TIME,913.79
SW3335,2026-11-08,SW,ON_TIME,932.83
SW3373,2026-11-28,SW,DELAYED,1013.01
DL3964,2026-11-09,DL,DELAYED,1089.02
DL7304,2026-11-09,DL,CANCELLED,598.75
UA3687,2026-11-03,UA,DELAYED,1323.28
AA489,2026-11-10,AA,CANCELLED,1090.96
DL3153,2026-11-05,DL,DELAYED,1276.57
AA536,2026-11-03,AA,DELAYED,680.18
UA510,2026-11-19,UA,ON_TIME,1060.69
AA3529,2026-11-29,AA,ON_TIME,560.55
DL9857,2026-11-14,DL,CANCELLED,511.23
AA2454,2026-11-18,AA,ON_TIME,1041.95
DL7322,2026-11-20,DL,ON_TIME,1340.89
UA8250,2026-11-25,UA,DELAYED,637.6
SW6854,2026-11-06,SW,DELAYED,169.17
UA3130,2026-11-01,UA,ON_TIME,630.67
UA6625,2026-11-08,UA,DELAYED,1078.37
SW1873,2026-11-29,SW,CANCELLED,661.37
SW667,2026-11-15,SW,DELAYED,366.41
AA2101,2026-11-01,AA,DELAYED,1352.29
UA496,2026-11-03,UA,CANCELLED,1487.82
SW5182,2026-11-14,SW,CANCELLED,1328.58
SW5558,2026-11-06,SW,DELAYED,301.53
DL1115,2026-11-19,DL,CANCELLED,1092.58
AA2459,2026-11-25,AA,ON_TIME,789.91
UA3399,2026-11-28,UA,ON_TIME,572.66
SW2912,2026-11-16,SW,CANCELLED,834.73
DL9201,2026-11-24,DL,DELAYED,495.12
DL7526,2026-11-04,DL,ON_TIME,381.88
AA2079,2026-11-30,AA,CANCELLED,835.08
AA3226,2026-11-23,AA,DELAYED,221.19
AA4416,2026-11-11,AA,ON_TIME,452.39
AA3352,2026-11-14,AA,ON_TIME,366.58
AA8920,2026-11-26,AA,DELAYED,1248.44
DL9775,2026-11-07,DL,CANCELLED,412.54
DL8249,2026-11-11,DL,DELAYED,978.66
SW4335,2026-11-08,SW,ON_TIME,ERROR_TEXT
DL8445,2026-11-20,DL,DELAYED,598.87
UA9871,2026-11-30,UA,DELAYED,1251.17
SW4050,2026-11-08,SW,CANCELLED,ERROR_TEXT
DL2282,2026-11-12,DL,ON_TIME,462.05
AA1768,2026-11-28,AA,CANCELLED,1335.6
SW5383,2026-11-15,SW,DELAYED,ERROR_TEXT
SW1772,2026-11-05,SW,ON_TIME,875.95
,2026-11-13,AA,CANCELLED,304.25
AA403,2026-11-04,AA,DELAYED,1078.57
SW4827,2026-11-27,SW,ON_TIME,679.32
AA1271,2026-11-13,AA,ON_TIME,1000.55
DL9950,2026-11-16,DL,DELAYED,256.34
DL9108,2026-11-26,DL,DELAYED,789.94
SW5119,2026-11-30,SW,ON_TIME,1177.32
DL8852,2026-11-14,DL,CANCELLED,717.74
DL272,2026-11-11,DL,ON_TIME,1052.23
DL4740,2026-11-01,DL,CANCELLED,155.08
AA5089,2026-11-02,AA,ON_TIME,864.23
DL4244,2026-11-11,DL,DELAYED,1121.32
SW3804,2026-11-29,SW,DELAYED,234.21
SW1051,2026-11-24,SW,ON_TIME,315.93
DL9279,2026-11-11,DL,DELAYED,524.07
AA454,2026-11-19,AA,CANCELLED,163.11
SW8932,2026-11-16,SW,ON_TIME,597.53
DL9330,2026-11-17,DL,DELAYED,1304.46
DL1629,2026-11-01,DL,CANCELLED,1087.09
DL8657,2026-11-18,DL,DELAYED,862.25
DL4285,2026-11-28,DL,DELAYED,1402.64
DL8334,2026-11-12,DL,DELAYED,535.39
AA9814,2026-11-07,AA,DELAYED,128.23
SW5041,2026-11-01,SW,CANCELLED,1119.13
AA6631,2026-11-22,AA,ON_TIME,964.35
UA6463,2026-11-23,UA,CANCELLED,469.06
UA9848,2026-11-18,UA,DELAYED,856.51
,2026-11-28,SW,ON_TIME,1320.05
DL9565,2026-11-21,DL,DELAYED,1026.79
AA2636,2026-11-29,AA,CANCELLED,1160.17
DL1794,2026-11-17,DL,DELAYED,1476.5
UA2984,2026-11-20,UA,DELAYED,1071.22
SW3541,2026-11-02,SW,CANCELLED,1193.09
SW9875,2026-11-07,SW,ON_TIME,1023.62
UA8025,2026-11-26,UA,CANCELLED,1499.53
DL997,2026-11-14,DL,DELAYED,391.01
SW3927,2026-11-30,SW,ON_TIME,1042.1
AA6658,2026-11-22,AA,DELAYED,331.99
SW8938,2026-11-11,SW,CANCELLED,1003.41
SW2585,2026-11-18,SW,CANCELLED,1102.38
AA1210,2026-11-06,AA,ON_TIME,279.67
SW7630,2026-11-01,SW,DELAYED,690.03
SW446,2026-11-30,SW,ON_TIME,592.57
DL7801,2026-11-11,DL,ON_TIME,388.13
SW6659,2026-11-19,SW,ON_TIME,166.34
UA2109,2026-11-19,UA,ON_TIME,1015.25
DL4897,2026-11-30,DL,CANCELLED,1486.25
SW7056,2026-11-15,SW,ON_TIME,198.77
UA1395,2026-11-18,UA,DELAYED,1023.8
SW7337,2026-11-22,SW,CANCELLED,858.62
SW615,2026-11-25,SW,CANCELLED,977.65
DL9180,2026-11-06,DL,ON_TIME,1285.06
SW2775,2026-11-03,SW,DELAYED,359.3
UA9210,2026-11-07,UA,CANCELLED,613.4
UA9810,2026-11-22,UA,ON_TIME,191.28
AA1933,2026-11-07,AA,ON_TIME,1216.91
SW3387,2026-11-29,SW,DELAYED,1398.06
AA8324,2026-11-27,AA,ON_TIME,906.68
UA8033,2026-11-21,UA,CANCELLED,1068.14
SW2832,2026-11-11,SW,CANCELLED,938.99
DL5384,2026-11-03,DL,CANCELLED,1244.58
UA2810,2026-11-15,UA,CANCELLED,780.76
UA3536,2026-11-29,UA,ON_TIME,1064.36
UA4001,2026-11-05,UA,ON_TIME,1329.06
AA9371,2026-11-09,AA,DELAYED,717.33
AA1938,2026-11-12,AA,ON_TIME,743.91
SW5843,2026-11-16,SW,CANCELLED,308.0
UA3515,2026-11-04,UA,DELAYED,592.63
SW2335,2026-11-27,SW,CANCELLED,716.64
AA4363,2026-11-09,AA,ON_TIME,958.03
DL9922,2026-11-14,DL,DELAYED,753.95
DL8043,2026-11-30,DL,ON_TIME,1333.11
SW5571,2026-11-29,SW,ON_TIME,1253.92
DL7254,2026-11-06,DL,ON_TIME,362.29
UA1187,2026-11-27,UA,DELAYED,391.96
DL660,2026-11-02,DL,CANCELLED,1352.34
AA6935,2026-11-16,AA,DELAYED,1343.41
UA309,2026-11-19,UA,DELAYED,717.36
DL3874,2026-11-28,DL,CANCELLED,1336.49
UA9325,2026-11-28,UA,ON_TIME,874.85
UA5883,2026-11-02,UA,CANCELLED,247.85
UA9172,2026-11-10,UA,CANCELLED,1142.51
UA5677,2026-11-08,UA,DELAYED,920.68
AA9240,2026-11-08,AA,ON_TIME,225.1
SW608,2026-11-20,SW,DELAYED,522.96
SW2803,2026-11-04,SW,DELAYED,394.95
SW1932,2026-11-12,SW,DELAYED,1332.87
AA1443,2026-11-25,AA,CANCELLED,705.26
DL8423,2026-11-06,DL,CANCELLED,1157.02
AA8198,2026-11-12,AA,DELAYED,1187.2
DL8354,2026-11-12,DL,DELAYED,1213.14
DL9714,2026-11-24,DL,DELAYED,1411.01
DL798,2026-11-25,DL,CANCELLED,553.08
DL7689,2026-11-11,DL,DELAYED,ERROR_TEXT
DL775,2026-11-13,DL,ON_TIME,1336.64
DL3719,2026-11-05,DL,DELAYED,687.17
SW2599,2026-11-30,SW,CANCELLED,1156.35
AA7214,2026-11-18,AA,ON_TIME,990.97
AA5400,2026-11-17,AA,DELAYED,301.39
DL3661,2026-11-05,DL,ON_TIME,1350.83
SW7703,2026-11-27,SW,CANCELLED,1442.29
AA7468,2026-11-13,AA,DELAYED,501.82
AA4598,2026-11-03,AA,ON_TIME,663.67
DL2544,2026-11-13,DL,DELAYED,957.02
DL4867,2026-11-13,DL,DELAYED,1344.55
AA6537,2026-11-05,AA,ON_TIME,411.02
SW2100,2026-11-02,SW,DELAYED,486.61
UA9519,2026-11-19,UA,CANCELLED,973.71
DL8709,2026-11-19,DL,ON_TIME,616.53
UA3047,2026-11-24,UA,DELAYED,213.87
AA6219,2026-11-18,AA,CANCELLED,902.45
AA9725,2026-11-13,AA,ON_TIME,ERROR_TEXT
SW4549,2026-11-25,SW,ON_TIME,1153.24
AA2708,2026-11-02,AA,ON_TIME,1200.96
SW9169,2026-11-16,SW,ON_TIME,236.88
UA2783,2026-11-14,UA,ON_TIME,1326.21
SW3314,2026-11-09,SW,CANCELLED,926.43
AA5150,2026-11-24,AA,ON_TIME,1070.7
DL4158,2026-11-27,DL,CANCELLED,676.02
SW4451,2026-11-27,SW,CANCELLED,1451.41
SW759,2026-11-17,SW,ON_TIME,1281.47
DL9851,2026-11-25,DL,CANCELLED,165.92
DL4525,2026-11-15,DL,CANCELLED,494.75
UA8833,2026-11-27,UA,CANCELLED,545.23
UA2995,2026-11-29,UA,ON_TIME,1119.94
AA3575,2026-11-28,AA,DELAYED,269.47
AA8191,2026-11-30,AA,CANCELLED,616.66
UA2736,2026-11-19,UA,DELAYED,1217.01
AA1574,2026-11-13,AA,DELAYED,1345.63
AA2764,2026-11-18,AA,DELAYED,1318.52
AA9068,2026-11-14,AA,ON_TIME,1155.81
UA7332,2026-11-12,UA,DELAYED,816.94
SW2608,2026-11-24,SW,DELAYED,1392.71
SW560,2026-11-24,SW,DELAYED,170.28
DL4032,2026-11-13,DL,DELAYED,932.01
UA595,2026-11-18,UA,DELAYED,1201.68
SW9267,2026-11-20,SW,ON_TIME,511.67
AA308,2026-11-05,AA,ON_TIME,350.23
DL1120,2026-11-30,DL,DELAYED,1425.2
AA5344,2026-11-27,AA,ON_TIME,1365.84
SW8449,2026-11-30,SW,DELAYED,208.67
DL3632,2026-11-07,DL,ON_TIME,294.72
SW7528,2026-11-04,SW,DELAYED,812.89
SW7870,2026-11-24,SW,CANCELLED,1205.76
UA5377,2026-11-13,UA,ON_TIME,449.87
DL971,2026-11-13,DL,ON_TIME,703.54
DL8136,2026-11-13,DL,CANCELLED,1222.9
AA7361,2026-11-24,AA,ON_TIME,605.28
AA4933,2026-11-12,AA,DELAYED,131.8
AA8476,2026-11-05,AA,ON_TIME,532.7
DL5715,2026-11-17,DL,ON_TIME,494.42
AA6232,2026-11-13,AA,DELAYED,706.21
UA7169,2026-11-24,UA,DELAYED,918.84
AA2420,2026-11-27,AA,CANCELLED,293.61
SW4693,2026-11-19,SW,CANCELLED,735.57
UA7988,2026-11-23,UA,CANCELLED,272.89
DL6091,2026-11-18,DL,DELAYED,1132.96
UA5205,2026-11-22,UA,DELAYED,985.6
SW280,2026-11-24,SW,ON_TIME,1172.4
UA8714,2026-11-04,UA,DELAYED,119.06
UA2728,2026-11-03,UA,DELAYED,1445.68
SW892,2026-11-23,SW,ON_TIME,424.09
DL605,2026-11-13,DL,DELAYED,856.42
UA9370,2026-11-07,UA,CANCELLED,1411.11
UA8444,2026-11-04,UA,DELAYED,1309.42
UA1875,2026-11-14,UA,DELAYED,177.55
DL6930,2026-11-08,DL,DELAYED,450.55
UA8562,2026-11-02,UA,CANCELLED,1231.34
SW7541,2026-11-05,SW,CANCELLED,704.07
UA4064,2026-11-29,UA,CANCELLED,1440.12
SW8663,2026-11-24,SW,CANCELLED,1310.18
AA4808,2026-11-10,AA,ON_TIME,204.78
DL3321,2026-11-29,DL,DELAYED,1448.75
SW4094,2026-11-10,SW,DELAYED,377.47
DL789,2026-11-02,DL,ON_TIME,591.23
DL7747,2026-11-26,DL,DELAYED,1369.46
AA8383,2026-11-12,AA,ON_TIME,717.86
SW901,2026-11-12,SW,DELAYED,312.99
DL8272,2026-11-15,DL,DELAYED,267.08
AA2912,2026-11-19,AA,DELAYED,842.52
DL6050,2026-11-25,DL,ON_TIME,263.3
AA9451,2026-11-05,AA,DELAYED,432.84
DL9596,2026-11-30,DL,CANCELLED,305.91
AA128,2026-11-03,AA,DELAYED,486.01
DL9913,2026-11-11,DL,CANCELLED,886.61
AA8031,2026-11-29,AA,DELAYED,641.84
SW3385,2026-11-04,SW,CANCELLED,404.89
UA5445,2026-11-29,UA,DELAYED,156.34
AA2421,2026-11-24,AA,DELAYED,472.23
UA6214,2026-11-29,UA,DELAYED,980.84
UA332,2026-11-30,UA,CANCELLED,204.9
SW6977,2026-11-28,SW,DELAYED,712.23
SW5247,2026-11-05,SW,DELAYED,824.68
AA4808,2026-11-14,AA,DELAYED,996.58
UA3997,2026-11-13,UA,DELAYED,1109.86
DL819,2026-11-22,DL,DELAYED,209.7
DL8731,2026-11-30,DL,ON_TIME,1364.29
DL5267,2026-11-07,DL,DELAYED,825.99
DL7757,2026-11-15,DL,DELAYED,1371.83
UA7124,2026-11-15,UA,CANCELLED,479.43
SW917,2026-11-28,SW,CANCELLED,1153.78
SW4246,2026-11-13,SW,DELAYED,1431.71
AA4433,2026-11-12,AA,DELAYED,509.98
SW2313,2026-11-28,SW,ON_TIME,522.23
AA9053,2026-11-03,AA,CANCELLED,254.84
SW8015,2026-11-27,SW,CANCELLED,1370.94
AA8369,2026-11-15,AA,ON_TIME,1450.22
DL7922,2026-11-25,DL,DELAYED,1475.49
AA3585,2026-11-24,AA,ON_TIME,1246.26
DL7056,2026-11-13,DL,ON_TIME,1473.89
UA2415,2026-11-16,UA,ON_TIME,1342.43
UA1606,2026-11-10,UA,ON_TIME,962.16
DL2337,2026-11-30,DL,ON_TIME,1069.79
DL9631,2026-11-30,DL,ON_TIME,1334.73
SW492,2026-11-07,SW,ON_TIME,889.88
UA7302,2026-11-21,UA,DELAYED,829.07
SW7352,2026-11-04,SW,CANCELLED,306.15
SW9028,2026-11-10,SW,DELAYED,849.05
UA5276,2026-11-23,UA,ON_TIME,340.04
UA7327,2026-11-27,UA,DELAYED,191.56
UA3345,2026-11-12,UA,DELAYED,1066.21
,2026-11-08,AA,CANCELLED,246.04
SW6884,2026-11-27,SW,ON_TIME,1384.05
AA6791,2026-11-13,AA,CANCELLED,980.96
AA2324,2026-11-02,AA,DELAYED,1446.54
AA7210,2026-11-18,AA,CANCELLED,197.36
,2026-11-04,DL,DELAYED,186.96
SW166,2026-11-21,SW,ON_TIME,300.65
DL5425,2026-11-09,DL,CANCELLED,263.5
SW400,2026-11-29,SW,CANCELLED,1017.85
UA9869,2026-11-13,UA,DELAYED,1345.56
AA4207,2026-11-13,AA,DELAYED,414.73
